id;date;author;post;gold_score;updated_gold_score;sentiment_value_model;refined_value
65;2000-01-01;Master;Att höra ditt skratt gör alltid min dag bättre.;1;1;1;1
66;2000-01-01;Master;Jag fick ett mycket uppskattande e-postmeddelande från min chef idag.;1;1;1;1
67;2000-01-01;Master;Vi hade en fantastisk semester och skapade minnen för livet.;1;1;1;1
68;2000-01-01;Master;Att lyckas med mitt projekt gav mig en enorm tillfredsställelse.;1;1;1;1
69;2000-01-01;Master;Jag älskar att se blommorna jag planterade växa och blomstra.;1;1;1;1
70;2000-01-01;Master;Ett spontant cafébesök med en vän gjorde hela min vecka.;1;1;1;1
71;2000-01-01;Master;Jag är så tacksam för allt stöd jag får från mina vänner.;1;1;1;1
72;2000-01-01;Master;Att jogga i parken på morgonen ger mig så mycket energi.;1;1;1;1
73;2000-01-01;Master;Den nya boken jag började läsa är helt fängslande.;1;1;1;0
74;2000-01-01;Master;Jag kände mig så stolt när jag klarade den svåra tentan.;1;1;1;1
75;2000-01-01;Master;Att hitta en gammal vän på sociala medier värmde mitt hjärta.;1;1;1;1
76;2000-01-01;Master;Jag skrattade så mycket åt filmen vi såg igår kväll.;1;1;1;1
77;2000-01-01;Master;Att få ett handskrivet brev på posten var en sådan glädje.;1;1;1;1
78;2000-01-01;Master;Jag känner mig så fridfull när jag lyssnar på vågornas brus.;1;1;1;0
79;2000-01-01;Master;Min favoritartist släpper ett nytt album snart, och jag kan inte vänta.;1;1;1;1
80;2000-01-01;Master;Att se barnen leka och skratta i parken är så hjärtvärmande.;1;1;1;1
81;2000-01-01;Master;Det är molnigt ute idag.;0;0;0;0
82;2000-01-01;Master;Jag ska gå och handla mat senare.;0;0;0;0
83;2000-01-01;Master;Boken jag läser handlar om historia.;0;0;0;0
84;2000-01-01;Master;Det är tisdag idag.;0;0;0;0
85;2000-01-01;Master;Jag måste tanka bilen snart.;0;0;0;0
86;2000-01-01;Master;Klockan är halv nio på morgonen.;0;0;0;0
87;2000-01-01;Master;Jag funderar på vilken film jag ska se ikväll.;0;0;0;0
88;2000-01-01;Master;Det är dags för mig att byta till vinterjacka.;0;0;0;0
89;2000-01-01;Master;Jag behöver köpa nya batterier till fjärrkontrollen.;0;0;0;1
90;2000-01-01;Master;Jag planerar att besöka biblioteket imorgon.;0;0;0;1
91;2000-01-01;Master;Min mobiltelefon har en uppdatering som behöver installeras.;0;0;0;0
92;2000-01-01;Master;Jag ska lämna tillbaka böckerna till biblioteket på vägen hem.;0;0;0;0
93;2000-01-01;Master;Det är vanligt att det regnar mycket i april.;0;0;0;0
94;2000-01-01;Master;Jag har tänkt börja lära mig ett nytt språk.;0;0;0;1
95;2000-01-01;Master;Jag brukar ta en promenad på lunchen.;0;0;0;0
96;2000-01-01;Master;Jag ska kolla vädret inför helgen.;0;0;0;0
97;2000-01-01;Master;Jag funderar på att börja med yoga.;0;0;0;0
98;2000-01-01;Master;Det är en ny kafé som öppnat i grannskapet.;0;0;0;1
99;2000-01-01;Master;Jag ska ordna med försäkringen för bilen.;0;0;0;0
100;2000-01-01;Master;Jag tänker på att byta jobb nästa år.;0;0;0;1
101;2000-01-01;Master;Jag missade bussen och måste vänta på nästa.;-1;-1;-1;-1
102;2000-01-01;Master;Det regnar igen, och jag glömde mitt paraply.;-1;-1;-1;0
103;2000-01-01;Master;Jag känner mig stressad över allt arbete jag har att göra.;-1;-1;-1;-1
104;2000-01-01;Master;Jag råkade tappa min telefon, och nu är skärmen sprucken.;-1;-1;-1;-1
105;2000-01-01;Master;Jag är besviken på hur filmen slutade.;-1;-1;-1;-1
106;2000-01-01;Master;Jag vaknade med huvudvärk denna morgon.;-1;-1;-1;-1
107;2000-01-01;Master;Det var en lång kö vid kassan i affären idag.;-1;-1;0;1
108;2000-01-01;Master;Jag känner mig ensam ibland.;-1;-1;-1;-1
109;2000-01-01;Master;Maten jag beställde var inte alls som jag förväntade mig.;-1;-1;-1;0
110;2000-01-01;Master;Jag glömde min plånbok hemma när jag gick ut.;-1;-1;0;0
111;2000-01-01;Master;Jag försov mig och kom försent till mitt möte.;-1;-1;-1;0
112;2000-01-01;Master;Det är så frustrerande när internet inte fungerar ordentligt.;-1;-1;-1;-1
113;2000-01-01;Master;Jag blev blöt i regnet och nu fryser jag.;-1;-1;-1;-1
114;2000-01-01;Master;Jag är orolig för min vän som inte mår bra.;-1;-1;-1;1
115;2000-01-01;Master;Jag råkade spilla kaffe över mina papper.;-1;-1;0;-1
116;2000-01-01;Master;Det är så tråkigt att sommaren är över.;-1;-1;-1;0
117;2000-01-01;Master;Jag kände mig utelämnad när jag inte blev inbjuden.;-1;-1;-1;0
118;2000-01-01;Master;Jag har tappat bort mitt bibliotekskort.;-1;-1;-1;-1
119;2000-01-01;Master;Jag är irriterad över att mitt tåg är försenat.;-1;-1;-1;-1
120;2000-01-01;Master;Min dator kraschade, och jag förlorade viktiga dokument.;-1;-1;-1;-1
121;2000-01-01;Master;Det regnar hela tiden, och jag känner mig så deprimerad.;-1;-1;-1;-1
122;2000-01-01;Master;Tåget blev inställt igen, och nu måste jag stanna sent på jobbet.;-1;-1;-1;0
123;2000-01-01;Master;Den där presentationen gick förfärligt, jag tror jag gjorde bort mig totalt.;-1;-1;-1;-1
124;2000-01-01;Master;Maten på restaurangen var smaklös och dyr, jag kommer aldrig gå dit igen.;-1;-1;-1;-1
125;2000-01-01;Master;Min telefon har gått sönder, och jag vet inte hur jag ska klara mig utan den.;-1;-1;-1;0
126;2000-01-01;Master;Bråket med min vän gjorde mig ledsen, jag vet inte om vi kan lösa det.;-1;-1;-1;0
127;2000-01-01;Master;Min cykel blev stulen, nu kan jag inte cykla till jobbet längre.;-1;-1;-1;-1
128;2000-01-01;Master;Det känns som allt går emot mig idag, jag har otur i allt jag gör.;-1;-1;-1;-1
129;2000-01-01;Master;Jag förstår inte den här uppgiften, jag kommer aldrig att klara den.;-1;-1;-1;1
130;2000-01-01;Master;Vädret är hemskt, det är kallt, mörkt och blåsigt.;-1;-1;-1;-1
131;2000-01-01;Master;Solen skiner idag, och jag känner mig full av energi.;1;1;1;0
132;2000-01-01;Master;Jag fick ett nytt jobb, och jag är så glad över möjligheten.;1;1;1;1
133;2000-01-01;Master;Middagen med mina vänner var fantastisk, vi hade så roligt tillsammans.;1;1;1;1
134;2000-01-01;Master;Hittade en ny bok som jag inte kan sluta läsa, den är helt underbar.;1;1;1;1
135;2000-01-01;Master;Träningen gick superbra idag, jag känner mig stark och frisk.;1;1;1;1
136;2000-01-01;Master;Fick ett fint meddelande från min partner, det gjorde mig varm i hjärtat.;1;1;1;1
137;2000-01-01;Master;Löste ett svårt problem på jobbet, känns skönt att lyckas.;1;1;1;1
138;2000-01-01;Master;Gjorde en spontan utflykt, och det blev en underbar dag.;1;1;1;1
139;2000-01-01;Master;Lärde mig något nytt idag, känns alltid bra att utvecklas.;1;1;1;1
140;2000-01-01;Master;Tacksam för min hälsa, min familj och mina vänner.;1;1;1;1
141;2000-01-01;Master;Solen skiner idag, och jag känner mig full av energi.;1;1;1;0
142;2000-01-01;Master;Jag fick ett nytt jobb, och jag är så glad över möjligheten.;1;1;1;1
143;2000-01-01;Master;Middagen med mina vänner var fantastisk, vi hade så roligt tillsammans.;1;1;1;1
144;2000-01-01;Master;Hittade en ny bok som jag inte kan sluta läsa, den är helt underbar.;1;1;1;1
145;2000-01-01;Master;Träningen gick superbra idag, jag känner mig stark och frisk.;1;1;1;1
146;2000-01-01;Master;Fick ett fint meddelande från min partner, det gjorde mig varm i hjärtat.;1;1;1;1
147;2000-01-01;Master;Löste ett svårt problem på jobbet, känns skönt att lyckas.;1;1;1;1
148;2000-01-01;Master;Gjorde en spontan utflykt, och det blev en underbar dag.;1;1;1;1
149;2000-01-01;Master;Lärde mig något nytt idag, känns alltid bra att utvecklas.;1;1;1;1
150;2000-01-01;Master;Tacksam för min hälsa, min familj och mina vänner.;1;1;1;1
151;2000-01-01;8 Sidor;Jakten på rånarna fortsätter men på måndagsmorgonen var de fortfarande fria;-1;-1;0;0
152;2000-01-01;8 Sidor;Han har berättat att höften måste opereras, men han har inte velat säga när.;-1;-1;0;1
153;2000-01-01;8 Sidor;Då tyckte experter att han var psykiskt sjuk, men inte så sjuk att han skulle slippa fängelse.;0;0;0;-1
154;2000-01-01;8 Sidor;Han hade gått till sjukhuset men fick inte träffa sin läkare.;-1;-1;-1;0
155;2000-01-01;8 Sidor;Men festen slutade med blod och död.;-1;-1;-1;0
156;2000-01-01;8 Sidor;Nu håller vattnet på att sjunka men nya problem har dykt upp.;-1;-1;-1;-1
157;2000-01-01;8 Sidor;Många turister har skadats men ingen har dödats.;-1;-1;0;-1
158;2000-01-01;8 Sidor;Stina Nilsson var bäst av svenskorna .;1;1;1;1
159;2000-01-01;8 Sidor;Hur olyckan kunde hända är fortfarande oklart .;-1;-1;0;-1
160;2000-01-01;8 Sidor;Egyptens militärer säger att de ska ingripa och stoppa protesterna om inte regeringen och poliserna gör det .;0;0;0;-1
161;2000-01-01;8 Sidor;Men vem bryr sig när han slår så fina passningar .;1;1;0;1
162;2000-01-01;8 Sidor;Hon heter Ameenah Gurib-Fakim .;0;0;0;0
163;2000-01-01;8 Sidor;EU-kommissionen kan bli nöjd om länderna till exempel höjer skatten för att få in mer pengar .;1;1;0;1
164;2000-01-01;8 Sidor;Då är risken att smittan blir ännu mer spridd .;-1;-1;-1;-1
165;2000-01-01;8 Sidor;Tysken Stefan W Hell delar priset med Eric Betzig och William E Moerner från USA .;0;0;0;0
166;2022-07-09;Twitter;Undrar hur många det är som kommer fortsätta trycka i sig mRNA. Stackars jävlar;-1;-1;-1;-1
167;2000-01-01;8 Sidor;Det har snöat mycket i västra Sverige under natten till tisdag .;0;0;0;0
168;2000-01-01;8 Sidor;Linda Haglund sade att hon var oskyldig och hennes tränare erkände att det var han som gjort fel .;0;0;-1;1
169;2000-01-01;8 Sidor;Ingen vet hur mycket det kommer att kosta att bygga upp New Orleans .;0;0;0;1
170;2000-01-01;8 Sidor;Fram till-1-10 ska regeringen lägga nästan 8 miljarder kronor på vägar och järnvägar .;0;0;0;0
171;2000-01-01;8 Sidor;EU vill att Europas städer ska få bättre skydd mot terrorister .;1;1;0;1
172;2000-01-01;8 Sidor;I vintras gjorde vi en intervju med Cecilia Wikström .;0;0;0;0
173;2000-01-01;8 Sidor;Då var det världens största fartyg .;1;1;0;0
174;2000-01-01;8 Sidor;År-1958 kom Sverige tvåa .;1;1;0;0
175;2000-01-01;8 Sidor;Många människor flydde från det kommunistiska Östtyskland till Västtyskland .;-1;-1;1;-1
176;2000-01-01;8 Sidor;De är arga för att ett gammalt fartyg som Prestige användes för att köra olja .;-1;-1;-1;0
177;2000-01-01;8 Sidor;En av sakerna hon kämpat för är att kvinnor ska få köra bil i landet .;1;1;0;1
178;2000-01-01;8 Sidor;Minst tio personer i två byar har blivit dödade .;-1;-1;-1;-1
179;2000-01-01;8 Sidor;Din förening kan nu räknas som ett parti .;0;0;0;0
180;2000-01-01;8 Sidor;Det är vanligt att Nordkorea hotar med vapen för att få hjälp med pengar.;-1;-1;-1;0
181;2000-01-01;8 Sidor;Den brittiska regeringen är säker på att det var Ryssland som försökte döda dem .;-1;-1;-1;0
182;2000-01-01;8 Sidor;Det är inte första gången som det blir våldsamt på matcher i fotboll .;-1;-1;-1;-1
183;2000-01-01;8 Sidor;Stina Nilsson var bäst av svenskorna .;1;1;1;1
184;2000-01-01;8 Sidor;Hur olyckan kunde hända är fortfarande oklart .;-1;-1;0;-1
185;2000-01-01;8 Sidor;Egyptens militärer säger att de ska ingripa och stoppa protesterna om inte regeringen och poliserna gör det .;0;0;0;-1
186;2000-01-01;8 Sidor;Men vem bryr sig när han slår så fina passningar .;-1;1;0;1
187;2000-01-01;8 Sidor;Hon heter Ameenah Gurib-Fakim .;0;0;0;0
188;2000-01-01;8 Sidor;EU-kommissionen kan bli nöjd om länderna till exempel höjer skatten för att få in mer pengar .;1;1;0;1
189;2000-01-01;8 Sidor;Då är risken att smittan blir ännu mer spridd .;-1;-1;-1;-1
190;2000-01-01;8 Sidor;Tysken Stefan W Hell delar priset med Eric Betzig och William E Moerner från USA .;0;0;0;0
191;2000-01-01;8 Sidor;Experterna vill inte att vi ska resa till eller från Stockholm och andra stora städer .;-1;-1;-1;1
192;2000-01-01;8 Sidor;Det har snöat mycket i västra Sverige under natten till tisdag .;0;0;0;0
193;2000-01-01;8 Sidor;Linda Haglund sade att hon var oskyldig och hennes tränare erkände att det var han som gjort fel .;-1;-1;-1;1
194;2000-01-01;8 Sidor;Ingen vet hur mycket det kommer att kosta att bygga upp New Orleans .;0;0;0;1
195;2000-01-01;8 Sidor;Fram till-1-10 ska regeringen lägga nästan 8 miljarder kronor på vägar och järnvägar .;0;0;0;0
196;2000-01-01;8 Sidor;EU vill att Europas städer ska få bättre skydd mot terrorister .;1;1;0;1
197;2000-01-01;8 Sidor;I vintras gjorde vi en intervju med Cecilia Wikström .;0;0;0;0
198;2000-01-01;8 Sidor;EU säger att regeringen bestämmer för mycket över domstolarna .;0;0;0;0
199;2000-01-01;8 Sidor;Pengarna ska se till att det blir mer ordning och reda i skolan .;1;1;1;1
200;2000-01-01;8 Sidor;Att vi har bra jämställdhet är också bra för att få bättre ekonomi i ett land .;1;1;1;1
201;2000-01-01;8 Sidor;Det är svårare än tidigare för studenter att hitta bostad .;-1;-1;-1;-1
202;2000-01-01;8 Sidor;Vad händer med den som blir sjuk ?;0;0;-1;-1
203;2000-01-01;8 Sidor;Taylor Michell vandrade ensam när de två vargarna anföll henne .;-1;-1;-1;-1
204;2000-01-01;8 Sidor;Tingsrätten dömde Mijailovic till livstids fängelse för mordet på utrikesminister Anna Lindh .;0;0;0;-1
205;2000-01-01;8 Sidor;Det hände nyligen när folk protesterade mot att Förenta nationerna , FN , finns i landet .;0;0;0;-1
206;2000-01-01;8 Sidor;Där orkanen dragit fram har hus och vägar förstörts .;-1;-1;-1;-1
207;2000-01-01;8 Sidor;Möter jag någon jag känner måste jag hålla avstånd , samtidigt kan det vara mycket ljud runt omkring , säger Paulina Palm .;0;0;0;0
208;2000-01-01;8 Sidor;Hagamannen tänker bo i Umeå när han släpps fri .;0;0;0;1
209;2000-01-01;8 Sidor;Verkets siffror visar också att färre människor dör i olyckor på jobbet .;0;0;0;-1
210;2000-01-01;8 Sidor;Han säger att rebellerna har tagit omkring 400 fångar .;-1;-1;0;-1
211;2000-01-01;8 Sidor; Han är en farlig motståndare .;-1;-1;-1;-1
212;2000-01-01;8 Sidor;Det har blivit vanligare med skjutningar och mord i de stora städerna i Sverige .;-1;-1;-1;-1
213;2000-01-01;8 Sidor;Dackarna och Västervik ska tävla i två matcher i finalen .;0;0;0;1
214;2000-01-01;8 Sidor;Efter två perioder ledde Kanada bara med-1-0 och svenskarna jagade ett mål .;0;0;0;1
215;2000-01-01;8 Sidor;Han misstänks för att ha hjälpt en knarkliga att ta in knark i Sverige .;-1;-1;-1;-1
216;2000-01-01;8 Sidor;Sveriges regering vill ha en skatt på flygresor .;0;0;0;0
217;2000-01-01;8 Sidor;Då hinner de inte med ett val också , säger Åsa Fahlén på Lärarnas Riksförbund .;0;0;0;0
218;2000-01-01;8 Sidor;Det är en ovanligt okänd person som blir chef för Skansen .;0;0;0;-1
219;2000-01-01;8 Sidor;Olafur Gudmundsson från Kristianstad med bollen i finalen mot Alingsås .;0;0;0;0
220;2000-01-01;8 Sidor;William och Kate åkte till sjukhuset tidigt på måndagsmorgonen .;0;0;0;0
221;2000-01-01;8 Sidor;88-årige Noun Chea och 83-årige Khieu Samphan döms till fängelse resten av livet .;-1;-1;0;-1
222;2000-01-01;8 Sidor;Ett tåg med passagerare blev fast i Gävle .;-1;-1;-1;0
223;2000-01-01;8 Sidor;Det kan betyda att färre får hudcancer i framtiden .;1;1;1;0
224;2000-01-01;8 Sidor;Nu ska domstolen titta på advokatens anmälan och undersöka vad som hänt .;0;0;0;0
225;2000-01-01;8 Sidor;Han ska också betala en halv miljon kronor till Andreas Danmans familj .;0;0;0;0
226;2000-01-01;8 Sidor;Hon vill också att sexsäljare ska behandlas som andra yrkesgrupper .;0;0;0;1
227;2000-01-01;8 Sidor;Regeringen har också tidigare sagt att de vill ordna lätta jobb i kommuner och landsting till de här personerna .;1;1;0;1
228;2000-01-01;8 Sidor;Explosionen ska ha varit nära Taksimtorget .;-1;-1;0;-1
229;2000-01-01;8 Sidor;Vi vill också satsa en miljard kronor så att föräldrarna får ut 90 procent av lönen de månaderna .;1;1;0;1
230;2000-01-01;8 Sidor;Nu ska en åklagare undersöka vad som har hänt .;0;0;0;0
231;2000-01-01;8 Sidor;Zlatan var matchens stora lirare .;1;1;1;0
232;2000-01-01;8 Sidor;De flesta holländare vill nu göra det svårare för invandrare att komma till Holland .;0;0;-1;-1
233;2000-01-01;8 Sidor;Presidenten säger att Mohamed Hussein Roble ska jobba med att göra landet bättre och säkrare .;1;1;0;1
234;2000-01-01;8 Sidor;Och de fick hjälp av stora företag som Facebook och Google .;1;1;1;1
235;2000-01-01;8 Sidor;Europeiska Unionen , EU , har nu kommit överens om flera saker .;1;1;0;1
236;2000-01-01;8 Sidor;Men Ryssland fortsätter att säga stopp till att släppa fram båtar .;0;0;0;0
237;2000-01-01;8 Sidor;Tre Kronor var på väg mot ett misslyckande i ishockey-VM .;-1;-1;-1;-1
238;2000-01-01;Dagens arena;Integrationspolitiken har de senaste decennierna fokuserat på att vilket jobb som helst är ett bra jobb för utlandsutbildade .;1;1;0;1
239;2000-01-01;Dagens arena;Det finns gott om lämpliga , demokratiskt sinnade aktörer att stödja , och deras behov är som sagt omfattande .;0;0;1;1
240;2000-01-01;Dagens arena;De tvingas att fatta tuffare beslut än vad de skulle önska i någon sorts ideal värld .;0;0;-1;1
241;2000-01-01;Dagens arena;Om AD dömer till fackets och den uppsagdas fördel får personen utöver skadestånd också innestående lön under den tid som tvisten pågått och kan få behålla jobbet, och arbetstagaren kan precis som idag köpas ut av arbetsgivaren om denne inte vill ha hen tillbaka.;0;0;0;-1
242;2000-01-01;Dagens arena;Socialdemokraterna ligger bakom-1900-talets stora jämställdhetsreformer men kampen för det jämlika och jämställda samhället måste fortsätta .;0;0;1;1
243;2000-01-01;Dagens arena; Arbetet måste injiceras både med väldigt tydliga insatser som går att mäta och följa upp , samtidigt som det är ett långsiktigt och outtröttligt arbete som såväl arbetsgivare som fackförbund måste orka driva .;0;0;1;1
244;2000-01-01;Dagens arena;Hotell- och restaurangfacket ( HRF ) anser att fackförbunden bör få någon form av ersättning för den extra arbetsbörda det innebär att lämna uppgifter till myndigheter , något de i sig menar är viktigt och en förutsättning för reformen .;0;0;0;0
245;2000-01-01;8 Sidor;I Uppland och på Gotland fick många skolbarn ledigt när deras skolor höll stängt .;0;0;0;1
246;2000-01-01;8 Sidor;Tidigare har Nicklas Lidström lett Detroit till seger år-1008 .;0;0;1;1
247;2000-01-01;8 Sidor;Människor från Norge , Island , Storbritannien , Schweiz och Liechtenstein får också komma .;0;0;0;0
248;2000-01-01;8 Sidor;Men i sitt tal berömde han Sverigedemokraterna för att de inte vill öka invandringen .;0;0;0;1
249;2000-01-01;8 Sidor;Så länge ett barn får behandling ska föräldrarna få ledigt , tycker regeringen .;0;0;0;1
250;2000-01-01;8 Sidor;Personer från Afghanistan var den grupp som lyckades bäst med att hitta jobb .;1;1;0;1
251;2000-01-01;8 Sidor; Vi fick höra nyheten i söndags av männens föräldrar .;0;0;0;1
252;2000-01-01;8 Sidor;Det kan vara fler döda .;-1;-1;-1;-1
253;2000-01-01;8 Sidor;Grekland regering ska spara pengar bland annat genom att höja pensionsåldern och ge mindre pengar till försvaret .;0;0;-1;1
254;2000-01-01;8 Sidor;Sverige fick ingen medalj i VM i handboll för herrar .;-1;-1;-1;-1
255;2000-01-01;8 Sidor;De måste genast få hjälp för att klara sig .;-1;1;-1;1
256;2000-01-01;8 Sidor;De ska också undersöka om sådana läger för flyktingar också skulle kunna vara utanför EU .;0;0;0;0
257;2000-01-01;8 Sidor;Socialdemokraternas ledare Stefan Löfven får mer tid på sig att hitta stöd för att bli statsminister .;0;0;0;1
258;2000-01-01;8 Sidor;Miljöpartiet Alla människor har samma värde .;1;1;1;1
259;2000-01-01;8 Sidor; Fler människor ska få jobb , det är viktigast för regeringen .;1;1;1;1
260;2000-01-01;8 Sidor; Kan du komma hem utan att smitta andra ?;0;0;0;0
261;2000-01-01;8 Sidor;Ibland lyckas Nigerias soldater befria terroristernas fångar .;1;1;1;0
262;2000-01-01;8 Sidor;De kidnappar , torterar och dödar oskyldiga människor , säger experterna i HRW .;-1;-1;1;-1
263;2000-01-01;8 Sidor;Colombias regering säger att landet måste få försvara sig mot gerillan .;0;0;0;1
264;2000-01-01;8 Sidor;Det firades med en stor fest i Stockholm på söndagen .;1;1;1;1
265;2000-01-01;8 Sidor;Saab-arbetarna får vänta några veckor till innan de vet hur det går .;0;0;-1;0
266;2000-01-01;8 Sidor;Det är också viktigt att samarbeta med andra länder om att få bort olagliga vapen .;0;0;1;1
267;2000-01-01;8 Sidor;Stefan Löfven sade att han kan samarbeta med alla partier utom Sverigedemokraterna .;0;0;0;1
268;2000-01-01;8 Sidor;Många irakier är glada över att Saddam Hussein är borta .;0;0;1;1
269;2000-01-01;8 Sidor;Sverige tog guld i mixedstafetten där det var två män och två kvinnor med i laget .;1;1;1;1
270;2000-01-01;8 Sidor;Alla jublade , hurrade och dansade när de fick veta att presidenten hade lämnat ifrån sig makten .;1;1;1;1
271;2000-01-01;8 Sidor; Det är ett fint pris som visar att du har gjort något bra , säger Dejan Kulusevski .;1;1;1;1
272;2000-01-01;8 Sidor;SJ och Trafikverket tror att tågen kommer att kunna köra igen först på måndag den-1 juni .;-1;-1;0;0
273;2000-01-01;8 Sidor;Partiet vill att alla samer ska ha rätt till jakt och fiske .;1;1;0;1
274;2000-01-01;8 Sidor;Lagen gör att han kan fortsätta som president i två perioder till .;0;0;0;0
